1.0005878701414979 - Periods: 228 : 56 : 53, transaction count: 11618.0, delay: 1
1.000587864852299 - Periods: 228 : 57 : 54, transaction count: 11527.0, delay: 1
1.000587756391124 - Periods: 229 : 54 : 50, transaction count: 11956.0, delay: 2
1.0005875935814554 - Periods: 228 : 53 : 53, transaction count: 11810.0, delay: 1
1.0005874306705824 - Periods: 229 : 52 : 51, transaction count: 11903.0, delay: 1
1.000587427020598 - Periods: 229 : 53 : 52, transaction count: 11813.0, delay: 1
1.000587358604513 - Periods: 230 : 55 : 53, transaction count: 11612.0, delay: 1
1.0005872509488372 - Periods: 231 : 52 : 51, transaction count: 11855.0, delay: 1
1.0005871681547713 - Periods: 231 : 55 : 51, transaction count: 11669.0, delay: 1
1.0005869618942524 - Periods: 231 : 58 : 52, transaction count: 11501.0, delay: 1
1.0005864909356514 - Periods: 230 : 51 : 50, transaction count: 12109.0, delay: 2
1.0005864884744837 - Periods: 231 : 55 : 54, transaction count: 11556.0, delay: 1
1.0005864046313868 - Periods: 231 : 54 : 52, transaction count: 11818.0, delay: 2
1.0005860137923381 - Periods: 231 : 56 : 53, transaction count: 11532.0, delay: 1
1.0005857739122108 - Periods: 232 : 52 : 51, transaction count: 11828.0, delay: 1
1.000585303741219 - Periods: 229 : 53 : 50, transaction count: 12007.0, delay: 2
1.000585290461711 - Periods: 228 : 54 : 51, transaction count: 11973.0, delay: 2
1.0005851723797503 - Periods: 230 : 54 : 52, transaction count: 11727.0, delay: 1
1.0005850771744365 - Periods: 232 : 56 : 51, transaction count: 11606.0, delay: 1
1.000585075251607 - Periods: 229 : 58 : 51, transaction count: 11707.0, delay: 2
1.000585031732561 - Periods: 231 : 53 : 52, transaction count: 11879.0, delay: 2
1.0005849480681666 - Periods: 232 : 55 : 51, transaction count: 11772.0, delay: 2
1.0005848646358786 - Periods: 230 : 56 : 51, transaction count: 11652.0, delay: 1
1.0005848042504406 - Periods: 230 : 51 : 50, transaction count: 11982.0, delay: 1
1.000584662367696 - Periods: 230 : 53 : 52, transaction count: 11785.0, delay: 1
1.0005846525305626 - Periods: 231 : 51 : 50, transaction count: 11963.0, delay: 1
1.0005846385289483 - Periods: 228 : 57 : 56, transaction count: 11463.0, delay: 1
1.0005845327321832 - Periods: 231 : 50 : 50, transaction count: 12191.0, delay: 2
1.000584412693804 - Periods: 231 : 54 : 51, transaction count: 11735.0, delay: 1
1.0005842616781329 - Periods: 228 : 54 : 52, transaction count: 11897.0, delay: 2
1.0005841975251712 - Periods: 231 : 53 : 51, transaction count: 11790.0, delay: 1
1.0005841739285124 - Periods: 229 : 55 : 50, transaction count: 11899.0, delay: 2
1.000584030641462 - Periods: 231 : 54 : 54, transaction count: 11647.0, delay: 1
1.0005836814727769 - Periods: 228 : 50 : 50, transaction count: 12255.0, delay: 2
1.0005834331943009 - Periods: 230 : 53 : 50, transaction count: 11976.0, delay: 2
1.000583401869387 - Periods: 230 : 56 : 54, transaction count: 11517.0, delay: 1
1.0005833382956448 - Periods: 228 : 54 : 50, transaction count: 11990.0, delay: 2
1.000583319493903 - Periods: 227 : 55 : 53, transaction count: 11705.0, delay: 1
1.000583314273933 - Periods: 229 : 54 : 52, transaction count: 11756.0, delay: 1
1.0005833016844872 - Periods: 228 : 52 : 52, transaction count: 12023.0, delay: 2
1.0005832609609449 - Periods: 228 : 57 : 51, transaction count: 11655.0, delay: 1
1.0005831887176735 - Periods: 230 : 58 : 51, transaction count: 11684.0, delay: 2
1.0005831580032105 - Periods: 231 : 55 : 50, transaction count: 11856.0, delay: 2
1.0005831155318812 - Periods: 227 : 57 : 53, transaction count: 11595.0, delay: 1
1.0005829921260436 - Periods: 230 : 57 : 51, transaction count: 11734.0, delay: 2
1.0005828460481456 - Periods: 232 : 53 : 51, transaction count: 11886.0, delay: 2
1.0005827935985223 - Periods: 232 : 57 : 52, transaction count: 11530.0, delay: 1
1.0005826490277439 - Periods: 227 : 54 : 53, transaction count: 11763.0, delay: 1
1.0005824558864684 - Periods: 229 : 56 : 54, transaction count: 11543.0, delay: 1
1.0005819932371625 - Periods: 230 : 53 : 52, transaction count: 11902.0, delay: 2
1.000581978213441 - Periods: 229 : 50 : 50, transaction count: 12234.0, delay: 2
1.000581977581707 - Periods: 231 : 55 : 53, transaction count: 11583.0, delay: 1
1.000581913639818 - Periods: 229 : 52 : 51, transaction count: 12026.0, delay: 2
1.0005818221328007 - Periods: 228 : 54 : 54, transaction count: 11719.0, delay: 1
1.000581333329269 - Periods: 230 : 57 : 52, transaction count: 11562.0, delay: 1
1.0005813272116608 - Periods: 228 : 51 : 50, transaction count: 12027.0, delay: 1
1.0005811553168429 - Periods: 229 : 56 : 55, transaction count: 11509.0, delay: 1
1.000581130592276 - Periods: 230 : 56 : 51, transaction count: 11792.0, delay: 2
1.0005810422973425 - Periods: 229 : 56 : 51, transaction count: 11813.0, delay: 2
1.0005808409104169 - Periods: 228 : 52 : 51, transaction count: 12087.0, delay: 2
1.0005808135205951 - Periods: 232 : 56 : 50, transaction count: 11757.0, delay: 2
1.0005807522837145 - Periods: 230 : 56 : 55, transaction count: 11498.0, delay: 1
1.000580679642453 - Periods: 229 : 56 : 51, transaction count: 11684.0, delay: 1
1.0005802560808823 - Periods: 230 : 54 : 53, transaction count: 11684.0, delay: 1
1.0005802428270245 - Periods: 231 : 57 : 51, transaction count: 11595.0, delay: 1
1.000580160575434 - Periods: 229 : 56 : 56, transaction count: 11500.0, delay: 1
1.0005800842328776 - Periods: 231 : 55 : 52, transaction count: 11767.0, delay: 2
1.0005800529929432 - Periods: 228 : 51 : 51, transaction count: 12163.0, delay: 2
1.000579844006155 - Periods: 228 : 56 : 51, transaction count: 11866.0, delay: 2
1.000579777146231 - Periods: 229 : 51 : 50, transaction count: 12137.0, delay: 2
1.000579376432573 - Periods: 232 : 58 : 53, transaction count: 11434.0, delay: 1
1.0005791756701254 - Periods: 229 : 53 : 53, transaction count: 11788.0, delay: 1
1.0005791730866063 - Periods: 228 : 51 : 50, transaction count: 12160.0, delay: 2
1.00057916001602 - Periods: 230 : 52 : 51, transaction count: 12012.0, delay: 2
1.0005791443908736 - Periods: 229 : 54 : 53, transaction count: 11716.0, delay: 1
1.0005791434103637 - Periods: 230 : 55 : 51, transaction count: 11703.0, delay: 1
1.0005791310078853 - Periods: 231 : 50 : 50, transaction count: 12055.0, delay: 1
1.0005789932782077 - Periods: 228 : 52 : 50, transaction count: 12095.0, delay: 2
1.0005789404328218 - Periods: 227 : 56 : 53, transaction count: 11644.0, delay: 1
1.0005787774807948 - Periods: 230 : 57 : 53, transaction count: 11509.0, delay: 1
1.0005787176722205 - Periods: 231 : 54 : 53, transaction count: 11656.0, delay: 1
1.0005787148819798 - Periods: 232 : 51 : 50, transaction count: 11942.0, delay: 1
1.0005786002032393 - Periods: 229 : 57 : 54, transaction count: 11486.0, delay: 1
1.0005785366175965 - Periods: 227 : 55 : 51, transaction count: 11790.0, delay: 1
1.0005785084668037 - Periods: 227 : 58 : 53, transaction count: 11543.0, delay: 1
1.0005782221183792 - Periods: 229 : 58 : 52, transaction count: 11540.0, delay: 1
1.0005782214446475 - Periods: 230 : 53 : 53, transaction count: 11757.0, delay: 1
1.000578177174413 - Periods: 227 : 54 : 51, transaction count: 11840.0, delay: 1
1.0005781755453038 - Periods: 229 : 55 : 52, transaction count: 11701.0, delay: 1
1.000578083049491 - Periods: 229 : 52 : 52, transaction count: 11995.0, delay: 2
1.0005780264114257 - Periods: 231 : 57 : 54, transaction count: 11471.0, delay: 1
1.0005778755074175 - Periods: 231 : 51 : 51, transaction count: 12064.0, delay: 2
1.0005778329237507 - Periods: 229 : 55 : 53, transaction count: 11655.0, delay: 1
1.000577792770566 - Periods: 228 : 56 : 50, transaction count: 11889.0, delay: 2
1.0005777249689987 - Periods: 227 : 51 : 51, transaction count: 12174.0, delay: 2
1.000577721431202 - Periods: 228 : 56 : 52, transaction count: 11789.0, delay: 2
1.00057764440796 - Periods: 229 : 58 : 52, transaction count: 11654.0, delay: 2
1.000577629641113 - Periods: 229 : 57 : 51, transaction count: 11759.0, delay: 2
1.000577591751209 - Periods: 228 : 58 : 52, transaction count: 11569.0, delay: 1
1.0005775789283864 - Periods: 229 : 58 : 53, transaction count: 11490.0, delay: 1
1.0005775786440678 - Periods: 228 : 54 : 51, transaction count: 11808.0, delay: 1
1.0005775677056088 - Periods: 230 : 58 : 52, transaction count: 11518.0, delay: 1
1.0005775543543844 - Periods: 227 : 57 : 51, transaction count: 11686.0, delay: 1
1.000577409783915 - Periods: 232 : 51 : 50, transaction count: 12075.0, delay: 2
1.000577386180188 - Periods: 227 : 51 : 50, transaction count: 12188.0, delay: 2
1.0005772097913044 - Periods: 232 : 52 : 50, transaction count: 11994.0, delay: 2
1.0005771822140848 - Periods: 232 : 54 : 52, transaction count: 11790.0, delay: 2
1.0005770738638555 - Periods: 231 : 56 : 50, transaction count: 11662.0, delay: 1
1.0005768975765381 - Periods: 228 : 58 : 53, transaction count: 11512.0, delay: 1
1.0005768367430838 - Periods: 230 : 55 : 54, transaction count: 11575.0, delay: 1
1.0005768258332088 - Periods: 231 : 53 : 53, transaction count: 11733.0, delay: 1
1.000576756747707 - Periods: 228 : 53 : 51, transaction count: 12018.0, delay: 2
1.00057672806679 - Periods: 230 : 58 : 53, transaction count: 11463.0, delay: 1
1.0005766894780506 - Periods: 228 : 52 : 50, transaction count: 11968.0, delay: 1
1.0005765476360606 - Periods: 232 : 57 : 50, transaction count: 11712.0, delay: 2
1.0005764484322788 - Periods: 228 : 58 : 51, transaction count: 11763.0, delay: 2
1.0005763481602148 - Periods: 230 : 52 : 50, transaction count: 11904.0, delay: 1
1.0005763345208256 - Periods: 228 : 57 : 55, transaction count: 11492.0, delay: 1
1.0005762665161684 - Periods: 230 : 56 : 50, transaction count: 11689.0, delay: 1
1.0005760924156881 - Periods: 228 : 53 : 52, transaction count: 11943.0, delay: 2
1.0005760597318012 - Periods: 227 : 54 : 51, transaction count: 11978.0, delay: 2
1.000576049931731 - Periods: 229 : 57 : 51, transaction count: 11632.0, delay: 1
1.0005760367495147 - Periods: 232 : 58 : 51, transaction count: 11526.0, delay: 1
1.00057587154495 - Periods: 228 : 55 : 52, transaction count: 11729.0, delay: 1
1.0005757774825723 - Periods: 228 : 56 : 54, transaction count: 11587.0, delay: 1
1.0005757688106274 - Periods: 228 : 53 : 51, transaction count: 11869.0, delay: 1
1.0005757621996945 - Periods: 227 : 57 : 52, transaction count: 11643.0, delay: 1
1.0005755294155279 - Periods: 228 : 55 : 53, transaction count: 11677.0, delay: 1
1.0005754931730133 - Periods: 228 : 58 : 52, transaction count: 11685.0, delay: 2
1.0005752842723836 - Periods: 227 : 53 : 51, transaction count: 12023.0, delay: 2
1.0005752824372278 - Periods: 232 : 50 : 50, transaction count: 12036.0, delay: 1
1.000575209051709 - Periods: 227 : 55 : 52, transaction count: 11751.0, delay: 1
1.0005751960745515 - Periods: 227 : 52 : 50, transaction count: 12019.0, delay: 1
1.0005751600629227 - Periods: 232 : 54 : 50, transaction count: 11754.0, delay: 1
1.0005750963021978 - Periods: 229 : 57 : 55, transaction count: 11449.0, delay: 1
1.0005750302185383 - Periods: 231 : 57 : 53, transaction count: 11501.0, delay: 1
1.000574947167429 - Periods: 227 : 50 : 50, transaction count: 12282.0, delay: 2
1.0005748639412844 - Periods: 232 : 55 : 50, transaction count: 11696.0, delay: 1
1.000574736094926 - Periods: 227 : 56 : 51, transaction count: 11733.0, delay: 1
1.0005745809774227 - Periods: 228 : 53 : 50, transaction count: 12034.0, delay: 2
1.0005744995726595 - Periods: 231 : 56 : 51, transaction count: 11737.0, delay: 2
1.0005744618746222 - Periods: 231 : 58 : 51, transaction count: 11549.0, delay: 1
1.0005742681802978 - Periods: 227 : 56 : 55, transaction count: 11463.0, delay: 0
1.0005742095118193 - Periods: 230 : 54 : 51, transaction count: 11767.0, delay: 1
1.000574200745029 - Periods: 231 : 56 : 55, transaction count: 11471.0, delay: 1
1.0005740687469198 - Periods: 230 : 53 : 51, transaction count: 11818.0, delay: 1
1.0005740675811705 - Periods: 228 : 55 : 51, transaction count: 11916.0, delay: 2
1.000574059572302 - Periods: 228 : 58 : 50, transaction count: 11788.0, delay: 2
1.0005740293264718 - Periods: 231 : 58 : 54, transaction count: 11418.0, delay: 1
1.0005739009180181 - Periods: 230 : 55 : 55, transaction count: 11571.0, delay: 1
1.0005738999433826 - Periods: 231 : 55 : 50, transaction count: 11707.0, delay: 1
1.0005738475270542 - Periods: 227 : 54 : 52, transaction count: 11805.0, delay: 1
1.0005736344687084 - Periods: 229 : 56 : 52, transaction count: 11763.0, delay: 2
1.000573551201326 - Periods: 227 : 51 : 50, transaction count: 12088.0, delay: 1
1.0005735053962173 - Periods: 232 : 57 : 53, transaction count: 11488.0, delay: 1
1.0005734390153591 - Periods: 227 : 56 : 51, transaction count: 11877.0, delay: 2
1.0005734193470424 - Periods: 227 : 52 : 51, transaction count: 12090.0, delay: 2
1.0005734137063 - Periods: 232 : 53 : 50, transaction count: 11811.0, delay: 1
1.000573330808423 - Periods: 228 : 56 : 56, transaction count: 11541.0, delay: 1
1.0005732945012344 - Periods: 227 : 58 : 51, transaction count: 11634.0, delay: 1
1.0005731466834005 - Periods: 229 : 57 : 56, transaction count: 11434.0, delay: 1
1.0005731438715892 - Periods: 231 : 52 : 50, transaction count: 11886.0, delay: 1
1.0005730634723191 - Periods: 232 : 54 : 54, transaction count: 11618.0, delay: 1
1.0005729955459988 - Periods: 228 : 55 : 52, transaction count: 11839.0, delay: 2
1.0005729479580125 - Periods: 230 : 56 : 56, transaction count: 11480.0, delay: 1
1.0005728766132103 - Periods: 227 : 55 : 51, transaction count: 11929.0, delay: 2
1.000572850816554 - Periods: 231 : 51 : 50, transaction count: 12100.0, delay: 2
1.0005728368728397 - Periods: 227 : 54 : 50, transaction count: 12012.0, delay: 2
1.0005727143247156 - Periods: 229 : 51 : 50, transaction count: 12013.0, delay: 1
1.000572630143682 - Periods: 232 : 55 : 52, transaction count: 11735.0, delay: 2
1.0005722209853012 - Periods: 231 : 57 : 51, transaction count: 11688.0, delay: 2
1.0005722133015982 - Periods: 227 : 53 : 50, transaction count: 12057.0, delay: 2
1.0005721702000225 - Periods: 227 : 53 : 50, transaction count: 11974.0, delay: 1
1.000572100442066 - Periods: 229 : 53 : 51, transaction count: 11846.0, delay: 1
1.0005718830974226 - Periods: 228 : 55 : 54, transaction count: 11509.0, delay: 0
1.0005718117923268 - Periods: 230 : 54 : 54, transaction count: 11671.0, delay: 1
1.0005716714918367 - Periods: 227 : 56 : 52, transaction count: 11692.0, delay: 1
1.0005714797787642 - Periods: 227 : 52 : 50, transaction count: 12119.0, delay: 2
1.0005714764692428 - Periods: 232 : 55 : 54, transaction count: 11538.0, delay: 1
1.00057127683984 - Periods: 227 : 58 : 52, transaction count: 11591.0, delay: 1
1.0005712364943518 - Periods: 231 : 54 : 50, transaction count: 11772.0, delay: 1
1.0005711858445143 - Periods: 228 : 56 : 51, transaction count: 11709.0, delay: 1
1.0005711151786136 - Periods: 228 : 55 : 50, transaction count: 11937.0, delay: 2
1.0005709021177414 - Periods: 232 : 56 : 50, transaction count: 11656.0, delay: 1
1.0005708274881708 - Periods: 232 : 56 : 51, transaction count: 11707.0, delay: 2
1.0005707967677062 - Periods: 232 : 53 : 52, transaction count: 11855.0, delay: 2
1.000570743080951 - Periods: 231 : 58 : 53, transaction count: 11449.0, delay: 1
1.0005706614484633 - Periods: 232 : 57 : 51, transaction count: 11576.0, delay: 1
1.0005706280311002 - Periods: 227 : 52 : 52, transaction count: 12072.0, delay: 2
1.0005705841091668 - Periods: 228 : 55 : 55, transaction count: 11500.0, delay: 0
1.000570572660765 - Periods: 230 : 55 : 55, transaction count: 11450.0, delay: 0
1.000570492849822 - Periods: 231 : 53 : 50, transaction count: 11827.0, delay: 1
1.0005704698339828 - Periods: 228 : 57 : 57, transaction count: 11458.0, delay: 1
1.0005701898610453 - Periods: 230 : 55 : 50, transaction count: 11738.0, delay: 1
1.0005699607977296 - Periods: 232 : 51 : 51, transaction count: 12055.0, delay: 2
1.0005699592437238 - Periods: 227 : 54 : 52, transaction count: 11944.0, delay: 2
1.0005699003731596 - Periods: 229 : 57 : 52, transaction count: 11708.0, delay: 2
1.0005697759924976 - Periods: 230 : 57 : 51, transaction count: 11608.0, delay: 1
1.0005697566207088 - Periods: 227 : 53 : 52, transaction count: 11991.0, delay: 2
1.0005696394136525 - Periods: 229 : 52 : 50, transaction count: 11946.0, delay: 1
1.000569568593012 - Periods: 232 : 52 : 50, transaction count: 11870.0, delay: 1
1.0005694413547574 - Periods: 228 : 57 : 50, transaction count: 11708.0, delay: 1
1.0005694028161825 - Periods: 229 : 54 : 51, transaction count: 11795.0, delay: 1
1.0005693872851724 - Periods: 229 : 54 : 54, transaction count: 11697.0, delay: 1
1.0005691148048046 - Periods: 231 : 55 : 55, transaction count: 11543.0, delay: 1
1.0005689591202847 - Periods: 229 : 55 : 55, transaction count: 11595.0, delay: 1
1.0005687409960191 - Periods: 227 : 56 : 50, transaction count: 11912.0, delay: 2
1.000568713854827 - Periods: 227 : 56 : 53, transaction count: 11527.0, delay: 0
1.0005684197519307 - Periods: 230 : 57 : 54, transaction count: 11467.0, delay: 1
1.0005683229080293 - Periods: 230 : 58 : 50, transaction count: 11722.0, delay: 2
1.000568318527094 - Periods: 229 : 55 : 54, transaction count: 11613.0, delay: 1
1.0005682907165363 - Periods: 227 : 55 : 50, transaction count: 11963.0, delay: 2
1.0005681639647672 - Periods: 230 : 57 : 50, transaction count: 11771.0, delay: 2
1.0005681560602429 - Periods: 230 : 55 : 54, transaction count: 11471.0, delay: 0
1.0005680606272924 - Periods: 229 : 58 : 50, transaction count: 11752.0, delay: 2
1.0005679072042604 - Periods: 232 : 52 : 51, transaction count: 11963.0, delay: 2
1.000567852379936 - Periods: 231 : 56 : 50, transaction count: 11794.0, delay: 2
1.000567770691518 - Periods: 230 : 52 : 52, transaction count: 11983.0, delay: 2
